raxml -m GTRGAMMA -i 15 -j True -k True -p 123456 -T 4 -N 200
alpha[0]: 0.475304 rates[0] ac ag at cg ct gt: 2.341422 18.390435 1.544131 0.978951 16.878389 1.000000
alpha[0]: 0.474365 rates[0] ac ag at cg ct gt: 2.247875 17.628129 1.479977 0.937285 16.224236 1.000000
alpha[0]: 0.474667 rates[0] ac ag at cg ct gt: 2.404191 18.913866 1.587789 1.007976 17.330027 1.000000
alpha[0]: 0.474398 rates[0] ac ag at cg ct gt: 2.391711 18.803368 1.580024 1.004134 17.246445 1.000000
alpha[0]: 0.474685 rates[0] ac ag at cg ct gt: 2.274048 17.859445 1.498114 0.949475 16.401728 1.000000
alpha[0]: 0.474686 rates[0] ac ag at cg ct gt: 2.359945 18.562611 1.559156 0.989775 17.025012 1.000000
alpha[0]: 0.474245 rates[0] ac ag at cg ct gt: 2.356710 18.546425 1.555948 0.987694 16.980384 1.000000
alpha[0]: 0.474806 rates[0] ac ag at cg ct gt: 2.335257 18.375460 1.541585 0.976577 16.836098 1.000000
alpha[0]: 0.474318 rates[0] ac ag at cg ct gt: 2.345565 18.441659 1.548753 0.983039 16.913300 1.000000
alpha[0]: 0.474436 rates[0] ac ag at cg ct gt: 2.356569 18.532195 1.555612 0.988158 16.990210 1.000000
alpha[0]: 0.474615 rates[0] ac ag at cg ct gt: 2.256894 17.701744 1.484993 0.940757 16.281754 1.000000
alpha[0]: 0.474709 rates[0] ac ag at cg ct gt: 2.358318 18.540783 1.555319 0.987726 16.989785 1.000000
alpha[0]: 0.474576 rates[0] ac ag at cg ct gt: 2.399069 18.877314 1.587040 1.006827 17.310414 1.000000
alpha[0]: 0.474455 rates[0] ac ag at cg ct gt: 2.298880 18.057274 1.515086 0.959726 16.580632 1.000000
alpha[0]: 0.474391 rates[0] ac ag at cg ct gt: 2.387210 18.769383 1.575046 1.003555 17.212972 1.000000
alpha[0]: 0.474717 rates[0] ac ag at cg ct gt: 2.376028 18.664705 1.569574 0.996524 17.149581 1.000000
alpha[0]: 0.474659 rates[0] ac ag at cg ct gt: 2.368221 18.614883 1.564162 0.991402 17.072374 1.000000
alpha[0]: 0.474363 rates[0] ac ag at cg ct gt: 2.330294 18.280141 1.536561 0.976299 16.836267 1.000000
alpha[0]: 0.474716 rates[0] ac ag at cg ct gt: 2.336370 18.360156 1.539748 0.979540 16.842708 1.000000
alpha[0]: 0.474437 rates[0] ac ag at cg ct gt: 2.365721 18.602441 1.562012 0.990894 17.059833 1.000000
alpha[0]: 0.474281 rates[0] ac ag at cg ct gt: 2.369650 18.631494 1.563728 0.995077 17.096053 1.000000
alpha[0]: 0.474739 rates[0] ac ag at cg ct gt: 2.335867 18.358201 1.539922 0.979220 16.854132 1.000000
alpha[0]: 0.474502 rates[0] ac ag at cg ct gt: 2.400665 18.881284 1.587921 1.008949 17.309094 1.000000
alpha[0]: 0.474619 rates[0] ac ag at cg ct gt: 2.403621 18.899631 1.587436 1.009240 17.328303 1.000000
alpha[0]: 0.474679 rates[0] ac ag at cg ct gt: 2.312612 18.138468 1.523256 0.967311 16.687820 1.000000
alpha[0]: 0.474590 rates[0] ac ag at cg ct gt: 2.347858 18.461410 1.550980 0.983785 16.940613 1.000000
alpha[0]: 0.474772 rates[0] ac ag at cg ct gt: 2.373026 18.664728 1.566749 0.994381 17.117196 1.000000
alpha[0]: 0.474442 rates[0] ac ag at cg ct gt: 2.406996 18.917097 1.590893 1.011288 17.349615 1.000000
alpha[0]: 0.474512 rates[0] ac ag at cg ct gt: 2.322288 18.247839 1.531844 0.971733 16.759699 1.000000
alpha[0]: 0.474573 rates[0] ac ag at cg ct gt: 2.396007 18.828671 1.582804 1.006402 17.265936 1.000000
alpha[0]: 0.475173 rates[0] ac ag at cg ct gt: 2.389065 18.793527 1.577618 1.004401 17.241966 1.000000
alpha[0]: 0.474625 rates[0] ac ag at cg ct gt: 2.403129 18.893601 1.589609 1.009377 17.341203 1.000000
alpha[0]: 0.474544 rates[0] ac ag at cg ct gt: 2.335964 18.350128 1.540263 0.979614 16.870268 1.000000
alpha[0]: 0.474551 rates[0] ac ag at cg ct gt: 2.335836 18.355095 1.541809 0.978259 16.840792 1.000000
alpha[0]: 0.474380 rates[0] ac ag at cg ct gt: 2.332609 18.321242 1.537870 0.978078 16.821782 1.000000
alpha[0]: 0.474588 rates[0] ac ag at cg ct gt: 2.440424 19.189526 1.615836 1.028615 17.614162 1.000000
alpha[0]: 0.474291 rates[0] ac ag at cg ct gt: 2.323372 18.265196 1.532900 0.973781 16.763681 1.000000
alpha[0]: 0.474258 rates[0] ac ag at cg ct gt: 2.357977 18.536853 1.557069 0.986909 16.994901 1.000000
alpha[0]: 0.474515 rates[0] ac ag at cg ct gt: 2.294269 18.047340 1.513041 0.959626 16.552877 1.000000
alpha[0]: 0.474561 rates[0] ac ag at cg ct gt: 2.376144 18.687421 1.570044 0.996589 17.142514 1.000000
alpha[0]: 0.474169 rates[0] ac ag at cg ct gt: 2.358410 18.550068 1.556953 0.990557 17.002565 1.000000
alpha[0]: 0.474957 rates[0] ac ag at cg ct gt: 2.396485 18.795495 1.583641 1.005857 17.304276 1.000000
alpha[0]: 0.474801 rates[0] ac ag at cg ct gt: 2.341433 18.413718 1.546809 0.980709 16.887481 1.000000
alpha[0]: 0.474652 rates[0] ac ag at cg ct gt: 2.362325 18.590112 1.560654 0.988513 17.033986 1.000000
alpha[0]: 0.474785 rates[0] ac ag at cg ct gt: 2.337930 18.375977 1.540958 0.978010 16.851659 1.000000
alpha[0]: 0.474570 rates[0] ac ag at cg ct gt: 2.358031 18.548193 1.559602 0.988173 17.001578 1.000000
alpha[0]: 0.474529 rates[0] ac ag at cg ct gt: 2.324912 18.255139 1.532991 0.973144 16.780415 1.000000
alpha[0]: 0.474520 rates[0] ac ag at cg ct gt: 2.368767 18.622855 1.563841 0.994638 17.087053 1.000000
alpha[0]: 0.474316 rates[0] ac ag at cg ct gt: 2.347027 18.456757 1.548151 0.983002 16.929910 1.000000
alpha[0]: 0.474369 rates[0] ac ag at cg ct gt: 2.360412 18.582635 1.560071 0.988701 17.013852 1.000000
alpha[0]: 0.474520 rates[0] ac ag at cg ct gt: 2.359723 18.548229 1.558639 0.989557 17.026921 1.000000
alpha[0]: 0.474661 rates[0] ac ag at cg ct gt: 2.351240 18.467935 1.550558 0.985518 16.955785 1.000000
alpha[0]: 0.474473 rates[0] ac ag at cg ct gt: 2.362284 18.588364 1.559519 0.992482 17.035640 1.000000
alpha[0]: 0.474538 rates[0] ac ag at cg ct gt: 2.377194 18.683396 1.569470 0.996315 17.134652 1.000000
alpha[0]: 0.474218 rates[0] ac ag at cg ct gt: 2.379653 18.708176 1.571893 0.999585 17.160172 1.000000
alpha[0]: 0.474515 rates[0] ac ag at cg ct gt: 2.340156 18.397733 1.546047 0.980226 16.877221 1.000000
alpha[0]: 0.474714 rates[0] ac ag at cg ct gt: 2.434657 19.135992 1.610653 1.023886 17.571435 1.000000
alpha[0]: 0.474846 rates[0] ac ag at cg ct gt: 2.438984 19.168440 1.615724 1.026971 17.608357 1.000000
alpha[0]: 0.474615 rates[0] ac ag at cg ct gt: 2.302384 18.083872 1.515923 0.961942 16.603740 1.000000
alpha[0]: 0.474444 rates[0] ac ag at cg ct gt: 2.326186 18.290307 1.534427 0.971487 16.762313 1.000000
alpha[0]: 0.474378 rates[0] ac ag at cg ct gt: 2.328147 18.262848 1.533635 0.975233 16.808961 1.000000
alpha[0]: 0.474617 rates[0] ac ag at cg ct gt: 2.366682 18.607054 1.563659 0.993114 17.081131 1.000000
alpha[0]: 0.474570 rates[0] ac ag at cg ct gt: 2.337497 18.392965 1.543298 0.977734 16.847877 1.000000
alpha[0]: 0.474175 rates[0] ac ag at cg ct gt: 2.349806 18.475851 1.553188 0.986255 16.962315 1.000000
alpha[0]: 0.474668 rates[0] ac ag at cg ct gt: 2.365027 18.604338 1.563718 0.990003 17.044684 1.000000
alpha[0]: 0.474471 rates[0] ac ag at cg ct gt: 2.336095 18.366580 1.540850 0.978839 16.848128 1.000000
alpha[0]: 0.474484 rates[0] ac ag at cg ct gt: 2.357096 18.539896 1.555869 0.989641 16.997174 1.000000
alpha[0]: 0.474436 rates[0] ac ag at cg ct gt: 2.341148 18.425242 1.544975 0.980131 16.869981 1.000000
alpha[0]: 0.474405 rates[0] ac ag at cg ct gt: 2.345385 18.408324 1.546039 0.983251 16.929226 1.000000
alpha[0]: 0.474512 rates[0] ac ag at cg ct gt: 2.379509 18.698341 1.570722 0.996530 17.155607 1.000000
alpha[0]: 0.474787 rates[0] ac ag at cg ct gt: 2.386328 18.774366 1.576137 1.002032 17.216125 1.000000
alpha[0]: 0.474598 rates[0] ac ag at cg ct gt: 2.305876 18.094061 1.519678 0.963094 16.643025 1.000000
alpha[0]: 0.474461 rates[0] ac ag at cg ct gt: 2.390923 18.767105 1.579473 1.005379 17.270416 1.000000
alpha[0]: 0.474475 rates[0] ac ag at cg ct gt: 2.384872 18.760359 1.575765 1.001208 17.185611 1.000000
alpha[0]: 0.474573 rates[0] ac ag at cg ct gt: 2.343618 18.429186 1.547638 0.981463 16.902860 1.000000
alpha[0]: 0.474481 rates[0] ac ag at cg ct gt: 2.355335 18.532296 1.555645 0.987448 16.994808 1.000000
alpha[0]: 0.474491 rates[0] ac ag at cg ct gt: 2.333092 18.343026 1.538665 0.976296 16.821953 1.000000
alpha[0]: 0.474053 rates[0] ac ag at cg ct gt: 2.354077 18.506398 1.554032 0.987510 16.978675 1.000000
alpha[0]: 0.474706 rates[0] ac ag at cg ct gt: 2.330399 18.274129 1.536546 0.975120 16.835568 1.000000
alpha[0]: 0.474409 rates[0] ac ag at cg ct gt: 2.375191 18.648492 1.569185 0.997690 17.143883 1.000000
alpha[0]: 0.474705 rates[0] ac ag at cg ct gt: 2.327205 18.319944 1.536032 0.973999 16.779730 1.000000
alpha[0]: 0.474731 rates[0] ac ag at cg ct gt: 2.369326 18.624928 1.565919 0.994112 17.115498 1.000000
alpha[0]: 0.474699 rates[0] ac ag at cg ct gt: 2.357321 18.525111 1.554999 0.986719 17.002116 1.000000
alpha[0]: 0.474529 rates[0] ac ag at cg ct gt: 2.385876 18.745108 1.575723 1.001389 17.190229 1.000000
alpha[0]: 0.474819 rates[0] ac ag at cg ct gt: 2.407772 18.904385 1.590017 1.010862 17.384918 1.000000
alpha[0]: 0.474792 rates[0] ac ag at cg ct gt: 2.411104 18.967747 1.595643 1.014165 17.396190 1.000000
alpha[0]: 0.474230 rates[0] ac ag at cg ct gt: 2.284756 17.962291 1.506543 0.955379 16.476674 1.000000
alpha[0]: 0.474227 rates[0] ac ag at cg ct gt: 2.346334 18.477969 1.550478 0.982717 16.902445 1.000000
alpha[0]: 0.474545 rates[0] ac ag at cg ct gt: 2.347998 18.436020 1.550049 0.984699 16.954302 1.000000
alpha[0]: 0.474656 rates[0] ac ag at cg ct gt: 2.321616 18.235924 1.530336 0.969116 16.732450 1.000000
alpha[0]: 0.474341 rates[0] ac ag at cg ct gt: 2.328375 18.322465 1.536865 0.972911 16.769185 1.000000
alpha[0]: 0.474620 rates[0] ac ag at cg ct gt: 2.362186 18.532468 1.558215 0.989439 17.055001 1.000000
alpha[0]: 0.474789 rates[0] ac ag at cg ct gt: 2.411152 18.963826 1.594234 1.010440 17.384681 1.000000
alpha[0]: 0.474435 rates[0] ac ag at cg ct gt: 2.416353 18.981354 1.597050 1.015845 17.444941 1.000000
alpha[0]: 0.474624 rates[0] ac ag at cg ct gt: 2.353161 18.502139 1.552358 0.985375 16.950450 1.000000
alpha[0]: 0.474978 rates[0] ac ag at cg ct gt: 2.333081 18.318854 1.539915 0.977290 16.855368 1.000000
alpha[0]: 0.474993 rates[0] ac ag at cg ct gt: 2.340376 18.396546 1.544402 0.980583 16.890066 1.000000
alpha[0]: 0.474300 rates[0] ac ag at cg ct gt: 2.375134 18.657146 1.568170 0.995505 17.137481 1.000000
alpha[0]: 0.474622 rates[0] ac ag at cg ct gt: 2.336837 18.385286 1.542768 0.978170 16.850260 1.000000
alpha[0]: 0.474439 rates[0] ac ag at cg ct gt: 2.336598 18.384383 1.542364 0.977130 16.839776 1.000000
alpha[0]: 0.474572 rates[0] ac ag at cg ct gt: 2.342662 18.407990 1.546108 0.982102 16.893722 1.000000
alpha[0]: 0.474200 rates[0] ac ag at cg ct gt: 2.369089 18.623367 1.564902 0.993901 17.085525 1.000000
alpha[0]: 0.474795 rates[0] ac ag at cg ct gt: 2.401101 18.891614 1.587843 1.007428 17.320298 1.000000
alpha[0]: 0.474551 rates[0] ac ag at cg ct gt: 2.325812 18.289194 1.536333 0.973472 16.773381 1.000000
alpha[0]: 0.474999 rates[0] ac ag at cg ct gt: 2.355494 18.540734 1.556567 0.987589 16.998456 1.000000
alpha[0]: 0.474283 rates[0] ac ag at cg ct gt: 2.313444 18.157021 1.525685 0.969068 16.708558 1.000000
alpha[0]: 0.474583 rates[0] ac ag at cg ct gt: 2.324842 18.304455 1.534840 0.973187 16.761934 1.000000
alpha[0]: 0.474317 rates[0] ac ag at cg ct gt: 2.367263 18.628754 1.566033 0.993131 17.067794 1.000000
alpha[0]: 0.474295 rates[0] ac ag at cg ct gt: 2.356683 18.530356 1.555084 0.986471 16.997176 1.000000
alpha[0]: 0.474599 rates[0] ac ag at cg ct gt: 2.322799 18.232716 1.530556 0.972884 16.760209 1.000000
alpha[0]: 0.474098 rates[0] ac ag at cg ct gt: 2.324837 18.278654 1.534155 0.974096 16.761284 1.000000
alpha[0]: 0.474638 rates[0] ac ag at cg ct gt: 2.336828 18.357500 1.541540 0.977823 16.858476 1.000000
alpha[0]: 0.475104 rates[0] ac ag at cg ct gt: 2.399103 18.873388 1.587318 1.008237 17.307760 1.000000
alpha[0]: 0.474465 rates[0] ac ag at cg ct gt: 2.379127 18.696356 1.572630 0.997894 17.159640 1.000000
alpha[0]: 0.474031 rates[0] ac ag at cg ct gt: 2.310365 18.156376 1.523978 0.964029 16.644776 1.000000
alpha[0]: 0.474831 rates[0] ac ag at cg ct gt: 2.414859 18.992365 1.598670 1.015338 17.424599 1.000000
alpha[0]: 0.474674 rates[0] ac ag at cg ct gt: 2.401685 18.859161 1.587008 1.008070 17.331315 1.000000
alpha[0]: 0.474505 rates[0] ac ag at cg ct gt: 2.348029 18.452180 1.549514 0.984643 16.944614 1.000000
alpha[0]: 0.474683 rates[0] ac ag at cg ct gt: 2.382630 18.734177 1.574777 0.998633 17.180046 1.000000
alpha[0]: 0.474212 rates[0] ac ag at cg ct gt: 2.332762 18.306786 1.537454 0.975888 16.830910 1.000000
alpha[0]: 0.474244 rates[0] ac ag at cg ct gt: 2.405642 18.923801 1.590650 1.012040 17.341891 1.000000
alpha[0]: 0.474264 rates[0] ac ag at cg ct gt: 2.390664 18.798864 1.579685 1.002535 17.229029 1.000000
alpha[0]: 0.474315 rates[0] ac ag at cg ct gt: 2.339252 18.379287 1.543755 0.980410 16.867601 1.000000
alpha[0]: 0.474338 rates[0] ac ag at cg ct gt: 2.292874 17.991517 1.509615 0.958837 16.550928 1.000000
alpha[0]: 0.474513 rates[0] ac ag at cg ct gt: 2.420848 19.034936 1.601470 1.016453 17.440060 1.000000
alpha[0]: 0.474764 rates[0] ac ag at cg ct gt: 2.396730 18.795722 1.580574 1.005708 17.308589 1.000000
alpha[0]: 0.474533 rates[0] ac ag at cg ct gt: 2.357447 18.532694 1.556163 0.989566 17.010615 1.000000
alpha[0]: 0.474631 rates[0] ac ag at cg ct gt: 2.335529 18.341723 1.542454 0.979448 16.864001 1.000000
alpha[0]: 0.474623 rates[0] ac ag at cg ct gt: 2.372980 18.653911 1.567601 0.996744 17.121134 1.000000
alpha[0]: 0.474570 rates[0] ac ag at cg ct gt: 2.349941 18.472636 1.551350 0.983911 16.956492 1.000000
alpha[0]: 0.474363 rates[0] ac ag at cg ct gt: 2.350290 18.481280 1.551237 0.983915 16.945241 1.000000
alpha[0]: 0.474419 rates[0] ac ag at cg ct gt: 2.341147 18.367406 1.544562 0.980719 16.890335 1.000000
alpha[0]: 0.474364 rates[0] ac ag at cg ct gt: 2.357978 18.539652 1.557783 0.988336 16.999575 1.000000
alpha[0]: 0.474165 rates[0] ac ag at cg ct gt: 2.337716 18.359720 1.540802 0.978633 16.859626 1.000000
alpha[0]: 0.474436 rates[0] ac ag at cg ct gt: 2.353869 18.517835 1.556266 0.988089 16.975619 1.000000
alpha[0]: 0.474835 rates[0] ac ag at cg ct gt: 2.367770 18.584419 1.563526 0.992867 17.078617 1.000000
alpha[0]: 0.475168 rates[0] ac ag at cg ct gt: 2.412491 18.978915 1.596408 1.013396 17.406823 1.000000
alpha[0]: 0.474902 rates[0] ac ag at cg ct gt: 2.363113 18.575366 1.560537 0.989815 17.044282 1.000000
alpha[0]: 0.474411 rates[0] ac ag at cg ct gt: 2.334581 18.382337 1.540917 0.978869 16.828351 1.000000
alpha[0]: 0.474328 rates[0] ac ag at cg ct gt: 2.415739 18.990095 1.598064 1.016857 17.427185 1.000000
alpha[0]: 0.474694 rates[0] ac ag at cg ct gt: 2.344414 18.442172 1.547217 0.984890 16.909508 1.000000
alpha[0]: 0.474636 rates[0] ac ag at cg ct gt: 2.373006 18.660051 1.566441 0.994609 17.095433 1.000000
alpha[0]: 0.474546 rates[0] ac ag at cg ct gt: 2.347572 18.412358 1.549829 0.982369 16.948963 1.000000
alpha[0]: 0.474706 rates[0] ac ag at cg ct gt: 2.338705 18.379104 1.542701 0.979243 16.875495 1.000000
alpha[0]: 0.474807 rates[0] ac ag at cg ct gt: 2.400858 18.900199 1.588497 1.007669 17.305574 1.000000
alpha[0]: 0.474446 rates[0] ac ag at cg ct gt: 2.356177 18.539251 1.555428 0.987129 16.979703 1.000000
alpha[0]: 0.474464 rates[0] ac ag at cg ct gt: 2.333508 18.315208 1.540070 0.976684 16.846421 1.000000
alpha[0]: 0.474053 rates[0] ac ag at cg ct gt: 2.341640 18.412667 1.544210 0.979628 16.864945 1.000000
alpha[0]: 0.474504 rates[0] ac ag at cg ct gt: 2.404168 18.910784 1.590783 1.008120 17.323477 1.000000
alpha[0]: 0.474357 rates[0] ac ag at cg ct gt: 2.331438 18.348306 1.537657 0.974838 16.801545 1.000000
alpha[0]: 0.474543 rates[0] ac ag at cg ct gt: 2.330499 18.304060 1.536516 0.976234 16.815547 1.000000
alpha[0]: 0.474239 rates[0] ac ag at cg ct gt: 2.298628 18.078955 1.515007 0.963407 16.567151 1.000000
alpha[0]: 0.474397 rates[0] ac ag at cg ct gt: 2.349000 18.477905 1.551375 0.982975 16.921361 1.000000
alpha[0]: 0.474206 rates[0] ac ag at cg ct gt: 2.332680 18.338869 1.541279 0.974983 16.816048 1.000000
alpha[0]: 0.474480 rates[0] ac ag at cg ct gt: 2.345539 18.444773 1.549772 0.981586 16.919601 1.000000
alpha[0]: 0.474158 rates[0] ac ag at cg ct gt: 2.318462 18.232705 1.528736 0.971347 16.714142 1.000000
alpha[0]: 0.474397 rates[0] ac ag at cg ct gt: 2.326496 18.261184 1.535761 0.974870 16.796339 1.000000
alpha[0]: 0.474266 rates[0] ac ag at cg ct gt: 2.344518 18.445094 1.548242 0.981751 16.895973 1.000000
